timestamp,open,high,low,close,volume,MA_10,MA_20,MA_30,MA_50,MA_60,MA_90,MA_100,MA_110,MA_120,MA_130,MA_140,MA_150,MA_160,MA_170,MA_180,MA_200,MA_210,MA_220,MA_230,MA_240,MA_250,MA_260,MA_270,MA_280,MA_290,MA_300,MA_450,MA_460,MA_470,MA_480,MA_490,MA_500,MA_510,MA_520,MA_530,MA_540,MA_550,MA_560
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,4172.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,4174.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,4202.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,4247.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
